function,dimensions,observation_count,bound_profile,candidate_scheme,candidate_count,strategy,kappa,xi,query,submission_query,predicted_mean,predictive_std,acquisition_score,fitted_kernel,duplicate_at_6dp,experiment_status
4,4,41,wide,uniform_random,20000,ucb_kappa_1,1.0,,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.5509004993205266,0.5570437370212116,-0.9938567622993151,"5.74**2 * Matern(length_scale=[2.29, 2.22, 2.4, 2.37], nu=2.5) + WhiteKernel(noise_level=0.00196)",False,sensitivity_only_not_submitted
4,4,41,wide,uniform_random,20000,ucb_kappa_2,2.0,,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.5509004993205266,0.5570437370212116,-0.4368130252781035,"5.74**2 * Matern(length_scale=[2.29, 2.22, 2.4, 2.37], nu=2.5) + WhiteKernel(noise_level=0.00196)",False,sensitivity_only_not_submitted
4,4,41,wide,uniform_random,20000,expected_improvement_xi_0.01,,0.01,"[0.395194,0.393079,0.4399,0.382727]",0.395194-0.393079-0.439900-0.382727,-1.5509004993205266,0.5570437370212116,0.4926997623133177,"5.74**2 * Matern(length_scale=[2.29, 2.22, 2.4, 2.37], nu=2.5) + WhiteKernel(noise_level=0.00196)",False,sensitivity_only_not_submitted
5,4,31,standard,uniform_random,20000,ucb_kappa_0.1,0.1,,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,1872.156860989112,193.5930044562764,1891.5161614347396,"1.46**2 * Matern(length_scale=[2, 0.557, 0.756, 0.416], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,sensitivity_only_not_submitted
5,4,31,standard,uniform_random,20000,ucb_kappa_0.5,0.5,,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,1872.156860989112,193.5930044562764,1968.9533632172502,"1.46**2 * Matern(length_scale=[2, 0.557, 0.756, 0.416], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,sensitivity_only_not_submitted
5,4,31,standard,uniform_random,20000,ucb_kappa_1,1.0,,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,1872.156860989112,193.5930044562764,2065.7498654453884,"1.46**2 * Matern(length_scale=[2, 0.557, 0.756, 0.416], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,sensitivity_only_not_submitted
5,4,31,standard,uniform_random,20000,ucb_kappa_2,2.0,,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,1872.156860989112,193.5930044562764,2259.342869901665,"1.46**2 * Matern(length_scale=[2, 0.557, 0.756, 0.416], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,sensitivity_only_not_submitted
5,4,31,standard,uniform_random,20000,expected_improvement_xi_0.01,,0.01,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,1872.156860989112,193.5930044562764,407.8852938914533,"1.46**2 * Matern(length_scale=[2, 0.557, 0.756, 0.416], nu=2.5) + WhiteKernel(noise_level=1e-10)",False,sensitivity_only_not_submitted
5,4,31,wide,uniform_random,20000,ucb_kappa_0.1,0.1,,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,2153.5714530632818,184.10585578251332,2171.982038641533,"2.26**2 * Matern(length_scale=[10, 0.694, 1.05, 0.617], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,sensitivity_only_not_submitted
5,4,31,wide,uniform_random,20000,ucb_kappa_0.5,0.5,,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,2153.5714530632818,184.10585578251332,2245.6243809545385,"2.26**2 * Matern(length_scale=[10, 0.694, 1.05, 0.617], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,sensitivity_only_not_submitted
5,4,31,wide,uniform_random,20000,ucb_kappa_1,1.0,,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,2153.5714530632818,184.10585578251332,2337.677308845795,"2.26**2 * Matern(length_scale=[10, 0.694, 1.05, 0.617], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,sensitivity_only_not_submitted
5,4,31,wide,uniform_random,20000,ucb_kappa_2,2.0,,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,2153.5714530632818,184.10585578251332,2521.7831646283084,"2.26**2 * Matern(length_scale=[10, 0.694, 1.05, 0.617], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,sensitivity_only_not_submitted
5,4,31,wide,uniform_random,20000,expected_improvement_xi_0.01,,0.01,"[0.070925,0.983874,0.991494,0.996675]",0.070925-0.983874-0.991494-0.996675,2153.5714530632818,184.10585578251332,688.0533461579554,"2.26**2 * Matern(length_scale=[10, 0.694, 1.05, 0.617], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,sensitivity_only_not_submitted
